image_seed,image_condition,grain,participant,TrialNumber,reach,image,ran,order,rt_sec,response,target,image_name,distortion_seed,correct_or_incorrect
1,scenes,10.0,0,1,2,13,1.0,0.0,0.80240417,1.0,2.0,canister_15s,0.0,1.0
1,scenes,10.0,0,2,8,0,1.0,1.0,0.6187792,2.0,3.0,0387,1.0,1.0
1,scenes,10.0,0,3,8,13,1.0,2.0,1.661372,2.0,3.0,canister_15s,2.0,1.0
1,scenes,10.0,0,4,4,8,1.0,3.0,0.52140117,2.0,3.0,cardboard_06s,3.0,1.0
1,scenes,10.0,0,5,16,0,1.0,4.0,0.38457608,2.0,3.0,0387,4.0,1.0
1,scenes,10.0,0,6,4,15,1.0,5.0,2.204556,2.0,3.0,centrifuge_02s,5.0,1.0
1,scenes,10.0,0,7,16,11,1.0,6.0,1.5323989,1.0,2.0,bow1_03s,6.0,1.0
1,scenes,10.0,0,8,2,17,1.0,7.0,1.2328079,1.0,2.0,coaster_14s,7.0,1.0
1,scenes,10.0,0,9,16,3,1.0,8.0,1.0018308,2.0,3.0,basketball_hoop_07s,8.0,1.0
1,scenes,10.0,0,10,1,13,1.0,9.0,0.78020096,1.0,3.0,canister_15s,9.0,0.0
1,scenes,10.0,0,11,2,6,1.0,10.0,1.35972,1.0,2.0,bedpost_04s,10.0,1.0
1,scenes,10.0,0,12,1,11,1.0,11.0,0.85959697,2.0,3.0,bow1_03s,11.0,1.0
1,scenes,10.0,0,13,16,16,1.0,12.0,1.4838078,2.0,3.0,crutch_05s,12.0,1.0
1,scenes,10.0,0,14,16,17,1.0,13.0,0.651289,2.0,3.0,coaster_14s,13.0,1.0
1,scenes,10.0,0,15,8,3,1.0,14.0,6.8121033,2.0,2.0,basketball_hoop_07s,14.0,0.0
1,scenes,10.0,0,16,8,17,1.0,15.0,1.676991,1.0,2.0,coaster_14s,15.0,1.0
1,scenes,10.0,0,17,8,15,1.0,16.0,1.212641,1.0,2.0,centrifuge_02s,16.0,1.0
1,scenes,10.0,0,18,16,15,1.0,17.0,0.61558414,1.0,2.0,centrifuge_02s,17.0,1.0
1,scenes,10.0,0,19,1,10,1.0,18.0,1.217263,1.0,3.0,chute_03s,18.0,0.0
1,scenes,10.0,0,20,1,17,1.0,19.0,1.155123,1.0,2.0,coaster_14s,19.0,1.0
1,scenes,10.0,0,21,16,7,1.0,20.0,0.41094398,2.0,3.0,asparagus_04s,20.0,1.0
1,scenes,10.0,0,22,8,1,1.0,21.0,2.219906,1.0,2.0,basketball_hoop_09s,21.0,1.0
1,scenes,10.0,0,23,16,10,1.0,22.0,0.6219661,1.0,2.0,chute_03s,22.0,1.0
1,scenes,10.0,0,24,4,4,1.0,23.0,0.21526098,1.0,2.0,cellphone_02s,23.0,1.0
1,scenes,10.0,0,25,4,16,1.0,24.0,2.202267,2.0,3.0,crutch_05s,24.0,1.0
1,scenes,10.0,0,26,1,12,1.0,25.0,0.6520641,1.0,2.0,chalice_13s,25.0,1.0
1,scenes,10.0,0,27,4,10,1.0,26.0,1.9172802,2.0,3.0,chute_03s,26.0,1.0
1,scenes,10.0,0,28,2,9,1.0,27.0,1.841974,2.0,2.0,bowtie_06s,27.0,0.0
1,scenes,10.0,0,29,16,13,1.0,28.0,0.7553561,1.0,2.0,canister_15s,28.0,1.0
1,scenes,10.0,0,30,2,1,1.0,29.0,1.1442652,2.0,2.0,basketball_hoop_09s,29.0,0.0
1,scenes,10.0,0,31,1,14,1.0,30.0,0.66892195,2.0,2.0,crutch_11s,30.0,0.0
1,scenes,10.0,0,32,2,14,1.0,31.0,0.36608315,2.0,2.0,crutch_11s,31.0,0.0
1,scenes,10.0,0,33,16,9,1.0,32.0,0.3551042,1.0,2.0,bowtie_06s,32.0,1.0
1,scenes,10.0,0,34,4,18,1.0,33.0,1.552341,1.0,2.0,belt_buckle_06s,33.0,1.0
1,scenes,10.0,0,35,1,7,1.0,34.0,1.2112038,1.0,3.0,asparagus_04s,34.0,0.0
1,scenes,10.0,0,36,1,3,1.0,35.0,1.741807,1.0,3.0,basketball_hoop_07s,35.0,0.0
1,scenes,10.0,0,37,4,13,1.0,36.0,1.3549981,2.0,3.0,canister_15s,36.0,1.0
1,scenes,10.0,0,38,4,7,1.0,37.0,1.142252,1.0,2.0,asparagus_04s,37.0,1.0
1,scenes,10.0,0,39,2,3,1.0,38.0,1.0758951,2.0,3.0,basketball_hoop_07s,38.0,1.0
1,scenes,10.0,0,40,1,1,1.0,39.0,1.2279549,1.0,2.0,basketball_hoop_09s,39.0,1.0
1,scenes,10.0,0,41,1,8,1.0,40.0,1.244581,2.0,2.0,cardboard_06s,40.0,0.0
1,scenes,10.0,0,42,8,4,1.0,41.0,1.1016729,2.0,3.0,cellphone_02s,41.0,1.0
1,scenes,10.0,0,43,2,18,1.0,42.0,1.0763061,1.0,2.0,belt_buckle_06s,42.0,1.0
1,scenes,10.0,0,44,8,9,1.0,43.0,0.98844504,1.0,2.0,bowtie_06s,43.0,1.0
1,scenes,10.0,0,45,8,19,1.0,44.0,1.2634048,2.0,3.0,chisel_04s,44.0,1.0
1,scenes,10.0,0,46,16,6,1.0,45.0,0.8640621,1.0,2.0,bedpost_04s,45.0,1.0
1,scenes,10.0,0,47,16,5,1.0,46.0,1.624552,2.0,3.0,candlestick_04s,46.0,1.0
1,scenes,10.0,0,48,2,4,1.0,47.0,1.17834,2.0,3.0,cellphone_02s,47.0,1.0
1,scenes,10.0,0,49,2,16,1.0,48.0,1.5023711,1.0,3.0,crutch_05s,48.0,0.0
1,scenes,10.0,0,50,4,19,1.0,49.0,1.0371041,1.0,2.0,chisel_04s,49.0,1.0
1,scenes,10.0,0,51,2,8,1.0,50.0,0.54929614,2.0,3.0,cardboard_06s,50.0,1.0
1,scenes,10.0,0,52,4,11,1.0,51.0,1.4178631,2.0,3.0,bow1_03s,51.0,1.0
1,scenes,10.0,0,53,8,14,1.0,52.0,1.2044458,2.0,3.0,crutch_11s,52.0,1.0
1,scenes,10.0,0,54,2,11,1.0,53.0,1.07904,1.0,2.0,bow1_03s,53.0,1.0
1,scenes,10.0,0,55,4,9,1.0,54.0,1.071116,2.0,2.0,bowtie_06s,54.0,0.0
1,scenes,10.0,0,56,16,1,1.0,55.0,1.1114728,1.0,2.0,basketball_hoop_09s,55.0,1.0
1,scenes,10.0,0,57,1,0,1.0,56.0,1.1431248,2.0,3.0,0387,56.0,1.0
1,scenes,10.0,0,58,1,5,1.0,57.0,0.6770041,2.0,3.0,candlestick_04s,57.0,1.0
1,scenes,10.0,0,59,8,7,1.0,58.0,1.12346,1.0,2.0,asparagus_04s,58.0,1.0
